Topic,Top Terms
Topic 00,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 01,languages,functional,matching,complex,complexity,dependencies,values,models,problem,decomposition,between,mining,objects,relations,implementation,theory,pattern,publishing,formal,logical
Topic 02,constraints,temporal,integrity,normal,forms,object-oriented,schemata,under,isolation,replicated,reasoning,spatial,objects,bounded,joins,similarity,conditions,anonymization,privacy,logical
Topic 03,algebra,nested,expressions,searching,tree,hierarchical,batched,into,structured,calculus,extended,inference,optimizing,computation,unified,translation,comments,relations,functions,programs
Topic 04,file,algorithm,organization,simple,bounded,top-k,finding,performance,networks,replicated,index,detection,anonymization,technique,redundancy,mapping,clustering,adaptive,comments,application
Topic 05,probabilistic,continuous,answering,aggregate,information,capturing,synopses,calculus,functions,implementation,pattern,applications,estimating,results,index,compression,extending,bases,moving,objects
Topic 06,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 07,operations,backup,updating,reorganization,b-trees,record,concurrent,shared,relation,parallel,clustering,execution,application,programs,time,relations,adaptive,partitioned,secure,computation
Topic 08,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 09,streams,frequent,integrated,efficient,computing,comments,top,processing,graph,top-k,algorithm,finding,synopses,keyword,mechanisms,based,structure,implementation,estimating,functions
Topic 10,xml,processing,views,querying,stream,sources,updates,indexes,sets,continuous,documents,publishing,aggregate,pattern,functions,synopses,keyword,optimizing,conjunctive,methodology
Topic 11,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 12,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 13,dynamic,hashing,fast,scheme,linear,trie,new,retrieval,approximate,spaces,view,index,partitioned,methods,unified,consistency,replicated,multidimensional,universal,pattern
Topic 14,large,locking,transaction,recovery,sets,querying,record,b-tree,bases,b-trees,sources,relations,partitioned,formal,functions,adaptive,time,concurrent,objects,physical
Topic 15,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 16,retrieval,indexing,natural,graph,based,structure,information,from,partial-match,designing,theory,objects,view,strategies,signature,moving,text,environment,partitioning,adaptive
Topic 17,optimal,spatial,designing,under,partial-match,between,joins,reorganization,signature,networks,allocation,disk,error,generation,applications,facility,matching,objects,synopses,order
Topic 18,selection,strategies,memory,virtual,performance,extension,mapping,conditions,index,storage,buffer,allocation,processor,correctness,execution,shared,record,machine,application,associative
Topic 19,algorithms,access,method,partial,supporting,transaction,trie,recovery,cost,skyline,random,joins,theory,their,processor,transactional,partitioning,policies,new,methods
Topic 20,approach,information,mining,web,automatic,results,incomplete,implementation,pattern,generation,structures,extraction,index,conceptual,modeling,secure,privacy,facility,extended,security
Topic 21,efficient,from,trees,skyline,concurrent,shared,record,i/o,factors,programming,space,similarity,construction,integrity,b-trees,optimizing,compression,protocols,detection,joins
Topic 22,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 23,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
Topic 24,performance,join,improving,file,hash,cache,associative,machine,relations,organization,use,partitioned,disk,transactions,new,environment,through,modeling,factors,estimation
Topic 25,framework,through,object,views,updates,projection,approximate,spaces,privacy,estimating,unified,relation,use,optimizing,dynamic,improving,replication,calculus,storage,publishing
Topic 26,dependencies,trees,programming,reasoning,linear,about,via,models,generalized,mappings,exchange,provenance,update,sharing,conceptual,inference,order,view,random,problem
Topic 27,incremental,sql,maintenance,cost,logic,transitive,modeling,their,xpath,technique,formal,compression,replicated,theory,functions,towards,conditions,programs,estimating,structures
Topic 28,multiple,from,support,protocols,flexible,policies,storage,replication,transactions,adaptive,time,extended,properties,authorization,associative,estimation,access,logical,object-oriented,implementation
Topic 29,techniques,processing,normal,foreword,form,special,update,rules,relation,transactions,relations,introduction,approximate,universal,deductive,section,security,logical,static,object-oriented
