Topic,Group ID,Documents,Words
Topic 00,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 00,2003,0.012467834941127536,0.06233917470563768
Topic 00,2005,2.3128672670349022E-4,0.001156433633517451
Topic 00,2006,0.018682160752933812,0.09341080376466906
Topic 00,2007,2.3128672670349022E-4,0.001156433633517451
Topic 00,2008,0.048534183901058764,0.2549137179057994
Topic 00,2009,0.003130805424020159,0.015654027120100795
Topic 00,2010,0.012242798400505553,0.07345679040303332
Topic 00,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 00,2012,0.012242798400505553,0.07345679040303332
Topic 01,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 01,2003,0.012467834941127536,0.06233917470563768
Topic 01,2005,2.3128672670349022E-4,0.001156433633517451
Topic 01,2006,0.018682160752933812,0.09341080376466906
Topic 01,2007,2.3128672670349022E-4,0.001156433633517451
Topic 01,2008,0.048534183901058764,0.2549137179057994
Topic 01,2009,0.003130805424020159,0.015654027120100795
Topic 01,2010,0.012242798400505553,0.07345679040303332
Topic 01,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 01,2012,0.012242798400505553,0.07345679040303332
Topic 02,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 02,2003,0.012467834941127532,0.062339174705637664
Topic 02,2005,2.3128672670349017E-4,0.0011564336335174509
Topic 02,2006,0.01868216075293376,0.0934108037646688
Topic 02,2007,2.3128672670349017E-4,0.0011564336335174509
Topic 02,2008,0.04853418390105883,0.2549137179057997
Topic 02,2009,0.0031308054240201575,0.015654027120100788
Topic 02,2010,0.012242798400505545,0.07345679040303327
Topic 02,2011,-5.176996684615725E-6,-2.5884983423078626E-5
Topic 02,2012,0.012242798400505545,0.07345679040303327
Topic 03,1999,-3.988276198971694E-7,-1.994138099485847E-6
Topic 03,2003,0.7032223910130403,3.5161119550652016
Topic 03,2005,2.8483235519736283E-5,1.4241617759868142E-4
Topic 03,2006,4.3455347689590163E-4,0.002172767384479508
Topic 03,2007,2.8483235519736283E-5,1.4241617759868142E-4
Topic 03,2008,0.0011604324750705997,0.006190351273897303
Topic 03,2009,0.6558845370891211,3.2794226854456054
Topic 03,2010,3.881888985443049E-4,0.0023291333912658294
Topic 03,2011,-5.836909008877257E-6,-2.9184545044386286E-5
Topic 03,2012,3.881888985443049E-4,0.0023291333912658294
Topic 04,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 04,2003,0.012467834941127536,0.06233917470563768
Topic 04,2005,2.3128672670349022E-4,0.001156433633517451
Topic 04,2006,0.018682160752933812,0.09341080376466906
Topic 04,2007,2.3128672670349022E-4,0.001156433633517451
Topic 04,2008,0.048534183901058764,0.2549137179057994
Topic 04,2009,0.003130805424020159,0.015654027120100795
Topic 04,2010,0.012242798400505553,0.07345679040303332
Topic 04,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 04,2012,0.012242798400505553,0.07345679040303332
Topic 05,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 05,2003,0.012467834941127536,0.06233917470563768
Topic 05,2005,2.3128672670349022E-4,0.001156433633517451
Topic 05,2006,0.018682160752933802,0.09341080376466901
Topic 05,2007,2.3128672670349022E-4,0.001156433633517451
Topic 05,2008,0.04853418390105879,0.2549137179057995
Topic 05,2009,0.0031308054240201584,0.01565402712010079
Topic 05,2010,0.01224279840050555,0.0734567904030333
Topic 05,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 05,2012,0.01224279840050555,0.0734567904030333
Topic 06,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 06,2003,0.012467834941127536,0.06233917470563768
Topic 06,2005,2.3128672670349022E-4,0.001156433633517451
Topic 06,2006,0.018682160752933812,0.09341080376466906
Topic 06,2007,2.3128672670349022E-4,0.001156433633517451
Topic 06,2008,0.048534183901058764,0.25491371790579936
Topic 06,2009,0.003130805424020159,0.015654027120100795
Topic 06,2010,0.012242798400505553,0.07345679040303332
Topic 06,2011,1.0001636216353,5.0008181081765
Topic 06,2012,0.012242798400505553,0.07345679040303332
Topic 07,1999,1.0000652937906955,5.000326468953478
Topic 07,2003,0.012467834941127536,0.06233917470563768
Topic 07,2005,2.3128672670349022E-4,0.001156433633517451
Topic 07,2006,0.018682160752933812,0.09341080376466906
Topic 07,2007,2.3128672670349022E-4,0.001156433633517451
Topic 07,2008,0.04853418390105877,0.2549137179057994
Topic 07,2009,0.003130805424020159,0.015654027120100795
Topic 07,2010,0.012242798400505558,0.07345679040303335
Topic 07,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 07,2012,0.012242798400505558,0.07345679040303335
Topic 08,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 08,2003,0.012467834941127536,0.06233917470563768
Topic 08,2005,2.3128672670349022E-4,0.001156433633517451
Topic 08,2006,0.018682160752933812,0.09341080376466906
Topic 08,2007,2.3128672670349022E-4,0.001156433633517451
Topic 08,2008,0.04853418390105877,0.2549137179057994
Topic 08,2009,0.003130805424020159,0.015654027120100795
Topic 08,2010,0.012242798400505558,0.07345679040303335
Topic 08,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 08,2012,0.012242798400505558,0.07345679040303335
Topic 09,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 09,2003,0.012467834941127536,0.06233917470563768
Topic 09,2005,2.3128672670349022E-4,0.001156433633517451
Topic 09,2006,0.018682160752933812,0.09341080376466906
Topic 09,2007,2.3128672670349022E-4,0.001156433633517451
Topic 09,2008,0.048534183901058764,0.2549137179057994
Topic 09,2009,0.003130805424020159,0.015654027120100795
Topic 09,2010,0.012242798400505553,0.07345679040303332
Topic 09,2011,-5.176996684615726E-6,-2.588498342307863E-5
Topic 09,2012,0.012242798400505553,0.07345679040303332
Topic 10,1999,-2.0069739063526518E-7,-1.0034869531763258E-6
Topic 10,2003,2.1356933797357874E-4,0.0010678466898678936
Topic 10,2005,0.9942090853452201,4.971045426726101
Topic 10,2006,1.8957745263262877E-4,9.478872631631439E-4
Topic 10,2007,0.9942090853452201,4.971045426726101
Topic 10,2008,0.7102603853563448,4.261214741237771
Topic 10,2009,1.3676398760354696E-4,6.838199380177348E-4
Topic 10,2010,0.709912814456046,4.259476886736277
Topic 10,2011,-2.07044473463652E-7,-1.03522236731826E-6
Topic 10,2012,0.709912814456046,4.259476886736277
Topic 11,1999,-1.2737635045552724E-6,-6.368817522776362E-6
Topic 11,2003,0.002009431726040959,0.010047158630204795
Topic 11,2005,9.500863302887137E-5,4.750431651443568E-4
Topic 11,2006,0.002097781264218366,0.01048890632109183
Topic 11,2007,9.500863302887137E-5,4.750431651443568E-4
Topic 11,2008,0.31771722199964547,1.5903434182496565
Topic 11,2009,0.0011353283508955495,0.005676641754477748
Topic 11,2010,0.0017573082514291522,0.010543849508574912
Topic 11,2011,-1.7462417869801453E-6,-8.731208934900727E-6
Topic 11,2012,0.0017573082514291522,0.010543849508574912
Topic 12,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 12,2003,0.012467834941127532,0.062339174705637664
Topic 12,2005,2.3128672670349022E-4,0.001156433633517451
Topic 12,2006,0.018682160752933802,0.09341080376466901
Topic 12,2007,2.3128672670349022E-4,0.001156433633517451
Topic 12,2008,0.04853418390105879,0.2549137179057995
Topic 12,2009,0.0031308054240201584,0.01565402712010079
Topic 12,2010,0.012242798400505553,0.07345679040303332
Topic 12,2011,-5.176996684615725E-6,-2.5884983423078626E-5
Topic 12,2012,0.012242798400505553,0.07345679040303332
Topic 13,1999,-2.6702398202523056E-6,-1.3351199101261528E-5
Topic 13,2003,0.012467834941127536,0.06233917470563768
