Topic,Top Terms
Topic 00,arithmetic,floating-point,precision,variables,software,square,root,plotting,testing,multiple-precision,three,contour,variable,tool,certification,surfaces,rounded,ieee,design,basic
Topic 01,general,polynomials,collocation,over,[d3].,software,two-dimensional,domains,basis,hermite,rectangular,flow,bicubic,cubature,object-oriented,boundary-value,collection,triangle,partial,[d2].
Topic 02,generating,quadrature,interval,two,based,orthogonal,constraints,decomposition,improved,regression,point,problem,software,location,weighted,classes,distance,weight,singular,[f1].
Topic 03,performance,matrix,programs,interface,some,sparse,computations,routines,evaluation,exploiting,related,high,memory,user,multiplication,high-performance,errors,subroutines,multiprecision,modeling
Topic 04,polynomial,discrete,routines,that,accuracy,computational,has,interpolation,distributions,triangular,homotopy,efficiency,linearly,finding,sequences,product,special,differentiation,approximations,bicubic
Topic 05,analysis,software,sparse,study,matrices,programming,generalized,system,rational,models,estimating,case,semidefinite,jacobian,schur,functional,full,subroutines,roundoff,forms
Topic 06,algebra,test,blas,basic,subprograms,model,standard,set,level,programs,high-performance,extended,implementations,overview,processors,special,corrigenda,use,sturm-liouville,multiplication
Topic 07,matrix,``algorithm,framework,[z].,part,calculation,recursive,library,dense,convex,portable,triangular,new,note,blocked,roundoff,sets,errors,planar,special
Topic 08,exact,incomplete,unconstrained,gamma,environment,testing,constrained,vector,[e4].,gradient,parameters,note,minimization,[s14].,subroutines,approach,revisited,computers,ratios,complete
Topic 09,partial,factorization,block,sparse,cholesky,storage,elimination,multifrontal,diagonal,[f4].,pivoting,software,almost,out-of-core,certain,gaussian,triangular,column,packages,modified
Topic 10,matrices,sparse,symmetric,large,direct,solver,dense,real,unsymmetric,iteration,class,eigenvalues,rank-revealing,parabolic,[f2].,mixed,factorizations,optimal,time,scalable
Topic 11,real,estimation,applications,matrix,hessenberg,condition,eigenvalues,subroutines,numbers,calculating,part,estimating,[f2].,solvers,ordering,codes,related,improving,zero,adams
Topic 12,random,fast,transform,generator,corrigendum,normal,number,exponential,fourier,generators,computation,laplace,point,values,implementing,series,distributions,multivariate,sequence,sampling
Topic 13,least,squares,usage,algebra,basic,subprograms,539,translation,processor,iterative,solutions,refinement,modified,weighted,[f4].,minimization,truncated,transformations,[f1].,multiprecision
Topic 14,automatic,program,integral,equation,kind,problem,differentiation,second,[h].,tree,helmholtz,three-dimensional,partitioning,regions,programs,structure,planar,cubature,interactive,minimal
Topic 15,bessel,portable,subroutine,modified,argument,order,integrals,exponential,positive,arbitrary,644,nonnegative,arguments,[s14].,cdc,distribution,product,coefficients,ratios,sequence
Topic 16,numerical,evaluation,stiff,inversion,solvers,ordinary,odes,multistep,formulas,laplace,characteristic,new,some,partitioning,computers,bifurcation,preconditioners,taylor,[d2].,series
Topic 17,computation,numerical,system,derivatives,banded,object-oriented,solver,form,matrix,normal,complexity,differentiation,two-dimensional,arbitrary,variables,hypergeometric,distribution,boundary-value,scientific,beta
Topic 18,surface,interpolation,points,fitting,distributed,smooth,procedures,bivariate,``algorithm,spline,program,certification,irregularly,[e1].,quintic,sphere,[j6].,fixed,delaunay,interactive
Topic 19,eigenvalue,problem,generalized,solve,inverse,matrices,simultaneous,zeros,approximation,[f2].,their,computational,airy,bisection,symmetric,values,assignment,clustering,chebyshev,collection
Topic 20,value,equation,integer,initial,subroutine,numerical,solvers,two,computation,ordinary,solutions,runge-kutta,space,orders,order,nonstiff,state,variable,mathieu,reliable
Topic 21,programming,integration,large-scale,test,quadratic,integrals,system,network,adaptive,simplex,sequential,routine,mathematical,constrained,architectures,multiple,time,parabolic,definite,generating
Topic 22,matrix,reduction,form,codes,accurate,software,tridiagonal,profile,hybrid,factorizations,scalar,suite,general,globally,band,sylvester,homotopy,bisection,adams,differentiation
Topic 23,interpolation,multivariate,series,scattered,shepard,tension,spline,cubic,bivariate,sets,quadratic,large,hierarchical,modified,taylor,approximations,chebyshev,finding,zero,minimization
Topic 24,element,curve,finite,fitting,local,piecewise,[e2].,adaptive,manipulation,symbolic,generic,cubic,via,structures,polynomial,new,grid,based,automatic,least-squares
Topic 25,subroutines,approximate,set,solutions,grasp,compute,assignment,quadratic,maximum,algebraic,mathieu,dense,special,sparse,finding,cdc,updating,graph,scaling,fixed
Topic 26,adaptive,error,runge-kutta,global,software,control,quadrature,techniques,elliptic,explicit,pdes,bounds,tests,selection,interpolants,high-order,solver,parabolic,refinement,pairs
Topic 27,computer,acm,tensor,policy,degree,corrigenda,minimum,approximate,ordering,multiple,manipulation,products,column,packages,interpolatory,distribution,spectral,finding,splines,suite
Topic 28,code,sparse,from,design,symmetric,optimal,indefinite,iterative,new,definite,finite-element,unsymmetric,sampling,computational,overview,hierarchical,approximation,applications,sturm-liouville,distributions
Topic 29,library,software,generation,mathematical,comparison,fast,elementary,scalable,robust,its,elliptic,object-oriented,transforms,application,procedure,number,compiler,pseudorandom,sturm-liouville,scientific
