Topic,Group ID,Documents,Words
Topic 00,1992,0.002471460578384399,0.012357302891921995
Topic 00,1997,0.007224585688967185,0.036122928444835924
Topic 00,2000,0.027555379623389983,0.137691654752632
Topic 00,2004,0.02980844007166425,0.14904220035832125
Topic 00,2005,0.02103260682689076,0.1051630341344538
Topic 00,2006,0.007602108719691594,0.03801054359845797
Topic 00,2007,-2.8708523537213433E-5,-1.4354261768606715E-4
Topic 00,2008,-1.100520735691113E-5,-7.703645149837791E-5
Topic 00,2009,0.03580079628443981,0.17900398142219903
Topic 00,2013,0.001883791844397645,0.009418959221988224
Topic 01,1992,0.0024714605783843985,0.012357302891921992
Topic 01,1997,0.007224585688967185,0.036122928444835924
Topic 01,2000,0.027555379623389983,0.137691654752632
Topic 01,2004,0.029808440071664173,0.14904220035832086
Topic 01,2005,0.021032606826890708,0.10516303413445353
Topic 01,2006,0.007602108719691594,0.03801054359845797
Topic 01,2007,-2.870852353721341E-5,-1.4354261768606704E-4
Topic 01,2008,-1.1005207356911144E-5,-7.7036451498378E-5
Topic 01,2009,0.03580079628443993,0.17900398142219967
Topic 01,2013,0.001883791844397645,0.009418959221988224
Topic 02,1992,8.286417934269865E-4,0.004143208967134933
Topic 02,1997,0.0015807509160836396,0.007903754580418199
Topic 02,2000,0.2320864043757368,1.160400229650815
Topic 02,2004,0.0015948514197759694,0.007974257098879847
Topic 02,2005,0.33683443228925947,1.6841721614462974
Topic 02,2006,0.0013686185679119087,0.006843092839559544
Topic 02,2007,-1.545578644400033E-4,-7.727893222000164E-4
Topic 02,2008,-2.8907435106572647E-6,-2.0235204574600853E-5
Topic 02,2009,0.0018370019881574606,0.009185009940787303
Topic 02,2013,6.557588399551833E-4,0.003278794199775916
Topic 03,1992,0.002471460578384399,0.012357302891921995
Topic 03,1997,0.007224585688967185,0.036122928444835924
Topic 03,2000,0.027555379623389976,0.13769165475263198
Topic 03,2004,0.029808440071664267,0.14904220035832133
Topic 03,2005,0.02103260682689075,0.10516303413445374
Topic 03,2006,0.007602108719691594,0.03801054359845797
Topic 03,2007,-2.8708523537213433E-5,-1.4354261768606715E-4
Topic 03,2008,-1.100520735691113E-5,-7.703645149837791E-5
Topic 03,2009,0.03580079628443981,0.17900398142219903
Topic 03,2013,0.001883791844397645,0.009418959221988224
