Topic,Group ID,Documents,Words
Topic 00,2000,4.265939302013657,26.181393142056436
Topic 00,2001,5.220554754040909,31.106420513709175
Topic 00,2002,8.805837693584193,52.73553714800211
Topic 00,2003,7.491777171723044,43.57779331092932
Topic 00,2004,6.697591701467235,43.997291224819
Topic 00,2005,2.686678204566141,18.067976806723163
Topic 00,2006,2.6847806974736335,14.464857136779594
Topic 00,2007,6.0028323899428715,35.089722963847564
Topic 00,2008,5.324498001042016,32.44165889183625
Topic 00,2009,4.990231721660619,32.14436200720868
Topic 00,2010,3.9515536391740937,22.119101847721257
Topic 00,2011,6.757775414164347,41.53323273216094
Topic 00,2012,4.116480830295782,25.94318356421001
Topic 00,2013,7.48598504992674,45.94850492545688
Topic 00,2014,0.18617127221941188,1.4506345069141748
Topic 01,2000,4.622149659565023,30.299895195985968
Topic 01,2001,2.357989518980886,13.982956014545785
Topic 01,2002,4.541797675549539,32.429777019626485
Topic 01,2003,5.736701868110247,31.269076826106737
Topic 01,2004,5.646100938841103,40.58014216506952
Topic 01,2005,5.865837720984448,37.40663983959396
Topic 01,2006,4.226446640510165,28.361863818808807
Topic 01,2007,2.227061766487861,14.054264002663228
Topic 01,2008,5.5745477931991445,37.27020373635734
Topic 01,2009,6.987498156883819,47.75566088391004
Topic 01,2010,5.5584488013694,41.76764292764264
Topic 01,2011,6.546136209178142,45.46061161065282
Topic 01,2012,3.563690965398057,25.408499734850626
Topic 01,2013,7.669144953443128,47.319919390514016
Topic 01,2014,1.8100005701798632,11.300176267117564
Topic 02,2000,7.158518119617431,42.10225194567988
Topic 02,2001,5.262216718093306,32.61187553239584
Topic 02,2002,5.002054724118496,35.99797675143515
Topic 02,2003,4.281149494324665,29.226520635022535
Topic 02,2004,3.862285177673476,24.33221980296316
Topic 02,2005,4.144180396218597,25.547788729062905
Topic 02,2006,6.75658962549522,35.59553546674242
Topic 02,2007,3.1552798655559933,22.90786432766221
Topic 02,2008,6.659364696166302,45.19599767036732
Topic 02,2009,3.790684490884976,24.132944355954866
Topic 02,2010,4.5603203443535305,27.290574622554264
Topic 02,2011,4.791782021519419,32.239182013739686
Topic 02,2012,7.250202818610036,43.836132763348886
Topic 02,2013,6.347920518580996,39.07673543216608
Topic 02,2014,0.463782735094728,2.7842547363478563
Topic 03,2000,5.638827506465157,30.193208953098164
Topic 03,2001,3.8629752560118216,20.416091199057114
Topic 03,2002,2.666800075221249,15.606226868421851
Topic 03,2003,2.1822805408499995,13.651294703128775
Topic 03,2004,2.8471255821173327,17.394041504480533
Topic 03,2005,5.076912945143794,31.870356835121797
Topic 03,2006,5.041336010731229,27.688797754577596
Topic 03,2007,6.544601843577168,45.082564014839726
Topic 03,2008,2.0269006542413095,14.09626687239351
Topic 03,2009,6.435885176718373,39.864256453902215
Topic 03,2010,4.432348356363296,25.97775280634713
Topic 03,2011,6.898654140632816,37.32342657137397
Topic 03,2012,3.8506873658877487,27.021961150033256
Topic 03,2013,0.18844273623612331,0.9900403823491737
Topic 03,2014,2.598150244670907,18.8492877786792
Topic 04,2000,8.601334431997795,47.22161291913883
Topic 04,2001,3.1360202591124606,18.916314830201465
Topic 04,2002,3.203336257689484,20.094428789642663
Topic 04,2003,4.158810123524278,27.61962518336476
Topic 04,2004,7.355128161311962,50.08178462042709
Topic 04,2005,2.2124632650815426,14.69025546378032
Topic 04,2006,1.6846937546447476,9.058973115500141
Topic 04,2007,5.492551862836503,32.41042694793912
Topic 04,2008,5.201381959749757,32.23720808742218
