Topic,Top Terms
Topic 00,human,breast,shear,editorial,wave,finite,vivo,guest,soft,tumors,element,elasticity,high-resolution,modeling,characterization,modulus,special,simulations,tissues,complex
Topic 01,bone,cardiac,interventional,c-arm,x-ray,modeling,during,dynamic,4-d,ablation,computational,neurosurgery,functional,image-guided,atrial,interventions,body,based,procedures,activation
Topic 02,field,random,mammograms,structures,fields,based,markov,interpolation,surfaces,medical,surface,tumor,hierarchical,multiscale,microcalcifications,features,novel,conditional,integrated,gaussian
Topic 03,optical,spect,emission,coherence,positron,attenuation,perfusion,sequences,dynamic,myocardial,acquisition,gated,maximum,geometry,applied,likelihood,tissues,extraction,pinhole,mode
Topic 04,volumetric,wavelet,medical,based,pulmonary,visual,transform,evaluation,vector,measures,disease,compression,new,texture,correlation,classification,signal,nodules,lung,coding
Topic 05,volume,partial,local,mapping,resonance,contrast,quantitative,effects,voxel,lesion,lesions,conductivity,patterns,quantification,effect,accuracy,sclerosis,heart,tissue,presence
Topic 06,tracking,2-d,real-time,phase,vivo,coronary,regularized,three-dimensional,myocardial,elastography,optoacoustic,arteries,artery,measurement,system,strain,coupled,cardiac,displacement,fast
Topic 07,diffusion,nonlinear,tensor,applications,spatial,matter,hybrid,system,white,distributions,dti,prior,speckle,domain,functional,its,continuous,resonance,regression,inference
Topic 08,multiple,framework,coil,functions,design,unified,transmission,excitation,constraints,parallel,x-ray,evaluation,analytic,regularization,total,basis,pinhole,sensitivity,variation,projection
Topic 09,anatomical,medical,decomposition,angiograms,thoracic,airway,morphological,graph,observer,resonance,compression,region,imagery,framework,theory,robust,lossless,difference,frequency,model-based
Topic 10,models,based,active,surface,shape,cortical,mapping,vessel,flow,contours,appearance,structure,large,automated,learning,deformation,set,medical,lesions,development
Topic 11,correction,deformable,accurate,automated,models,cortex,distortion,point,medical,model-based,field,tracking,vasculature,surfaces,maps,bias,methodology,improved,regularization,prediction
Topic 12,statistical,network,performance,optimal,neural,fusion,three-class,simultaneous,roc,encoding,cardiac,artificial,ideal,forward,probabilistic,framework,boundary,abdominal,modelling,varying
Topic 13,visualization,virtual,validation,planning,new,dynamics,guidance,carotid,velocity,simulation,rate,head,heart,bronchoscopy,combination,computational,augmented,mechanical,interactive,b-mode
Topic 14,resolution,assessment,particle,high,algorithms,priors,tumor,microscopy,diffusion,dynamic,regularization,compressed,growth,likelihood,quality,microwave,multiple,fmri,sparse,enhanced
Topic 15,x-ray,projection,evaluation,comparison,computed,systems,coronary,performance,methods,small,animal,rigid,intensity,filter,time,noise,multimodal,between,optimization,propagation
Topic 16,breast,automated,prostate,computer-aided,digital,cancer,classification,diagnosis,contour,techniques,feature,mammography,color,masses,density,active,colonography,selection,based,texture
Topic 17,left,ventricular,cardiac,based,regional,tracking,echocardiography,new,sequences,real-time,multislice,function,quantification,ventricle,applied,model-based,high-resolution,tool,echocardiographic,nonrigid
Topic 18,tissue,classification,bayesian,novel,networks,joint,deformations,human,map,numerical,retina,experimental,solution,study,modeling,neural,robust,lesion,observers,multispectral
Topic 19,comparison,blood,flow,transmission,studies,cerebral,direct,arterial,least,efficient,objective,visualization,squares,quantitative,digital,changes,time-of-flight,doppler,sampling,weighted
Topic 20,electrical,impedance,dynamic,tomographic,parameter,array,contrast-enhanced,resonance,objects,three-dimensional,models,geometry,distributed,radiographs,means,constrained,kinetic,knee,fluoroscopy,novel
Topic 21,deformation,via,study,clinical,geometric,system,phantom,nonrigid,surgery,intraoperative,resonance,simulation,calibration,smoothing,recovery,computer,separation,molecular,investigation,joint
Topic 22,shape,statistical,modeling,based,chest,scanner,scans,generalized,parametric,lung,models,sparse,learning,local,statistics,transformation,direct,radiography,radiographs,mixture
Topic 23,fast,adaptive,optical,space,filtering,parallel,enhancement,diffuse,methods,algebraic,fluorescence,noise,algorithms,resonance,implementation,undersampled,three-dimensional,component,ratio,weighted
Topic 24,iterative,fully,measurements,system,compensation,spect,computed,emission,resolution,parameters,eit,tomographic,penalized-likelihood,noise,matrix,methods,simultaneous,properties,uncertainty,transmission
Topic 25,algorithms,beam,spiral,evaluation,guided,processing,cone,study,video,error,localization,accuracy,interpolation,radiation,fiducial,distribution,new,identification,therapy,target
Topic 26,correction,information,based,methods,technique,angiography,tensor,mutual,intensity,diffusion,artifacts,inhomogeneity,quantitative,digital,subtraction,retrospective,aneurysm,image-based,tractography,respiratory
Topic 27,retinal,robust,vessels,optic,vessel,assessment,boundary,extraction,disc,matching,fundus,filter,edge,camera,shift,blood,matched,confidence,delineation,centerline
Topic 28,fmri,functional,clustering,time,cell,fuzzy,microscopy,adaptive,modeling,improved,series,framework,response,detector,activity,under,nonparametric,variational,structural,bayesian
Topic 29,cone-beam,reduction,helical,exact,problem,via,fourier,filtered,spherical,scatter,inverse,x-ray,artifact,iterative,representation,backprojection,rebinning,based,scan,projections
