Topic,Group ID,Documents,Words
Topic 00,2012,0.03446197766127698,0.2067746727187495
Topic 00,2013,0.04930515396031587,0.2807607172057486
Topic 01,2012,6.86338083549227E-4,0.004120323217607965
Topic 01,2013,1.5701505353881102,11.857939202456912
Topic 02,2012,0.034461977677757626,0.2067746728176338
Topic 02,2013,0.049305153943835583,0.2807607171068669
Topic 03,2012,0.03446197767442093,0.2067746727976135
Topic 03,2013,0.04930515394717222,0.28076071712688666
Topic 04,2012,0.034461977682332,0.2067746728450801
Topic 04,2013,0.04930515393926134,0.28076071707942135
Topic 05,2012,0.034461977666001425,0.2067746727470963
Topic 05,2013,0.04930515395559154,0.2807607171774026
Topic 06,2012,0.03446197767233422,0.20677467278509318
Topic 06,2013,0.049305153949258884,0.28076071713940665
Topic 07,2012,0.03446197765667392,0.20677467269113103
Topic 07,2013,0.04930515396491883,0.2807607172333664
Topic 08,2012,0.034461977674505595,0.2067746727981215
Topic 08,2013,0.04930515394708756,0.28076071712637873
Topic 09,2012,0.03446197768805953,0.20677467287944543
Topic 09,2013,0.049305153933533935,0.280760717045057
Topic 10,2012,0.03446197767313821,0.20677467278991718
Topic 10,2013,0.04930515394845489,0.28076071713458267
Topic 11,2012,0.03446197766561267,0.20677467274476372
Topic 11,2013,0.0493051539559803,0.2807607171797351
Topic 12,2012,0.03446197766582468,0.20677467274603584
Topic 12,2013,0.04930515395576827,0.28076071717846296
Topic 13,2012,0.03446197768036886,0.20677467283330123
Topic 13,2013,0.04930515394122442,0.2807607170911999
Topic 14,2012,0.03446197765190819,0.2067746726625366
Topic 14,2013,0.04930515396968444,0.28076071726196
Topic 15,2012,0.03446197766955278,0.20677467276840447
Topic 15,2013,0.04930515395204024,0.28076071715609485
Topic 16,2012,0.03446197767417916,0.2067746727961629
Topic 16,2013,0.04930515394741399,0.28076071712833733
Topic 17,2012,0.03446197766401395,0.20677467273517142
Topic 17,2013,0.04930515395757897,0.28076071718932716
Topic 18,2012,0.034461977705420165,0.20677467298360963
Topic 18,2013,0.04930515391617367,0.2807607169408954
Topic 19,2012,0.03446197764661012,0.20677467263074803
Topic 19,2013,0.049305153974982384,0.28076071729374763
Topic 20,2012,0.03446197764920525,0.20677467264631885
Topic 20,2013,0.04930515397238729,0.28076071727817714
Topic 21,2012,0.03446197766771431,0.20677467275737363
Topic 21,2013,0.04930515395387869,0.2807607171671255
Topic 22,2012,0.034461977651162636,0.20677467265806324
Topic 22,2013,0.049305153970429984,0.28076071726643326
Topic 23,2012,0.03446197769185716,0.20677467290223128
Topic 23,2013,0.04930515392973638,0.2807607170222716
Topic 24,2012,0.034461977652976,0.20677467266894342
Topic 24,2013,0.04930515396861668,0.2807607172555534
Topic 25,2012,0.03446197764852079,0.2067746726422121
Topic 25,2013,0.049305153973071766,0.28076071728228397
Topic 26,2012,0.034461977684978065,0.20677467286095655
Topic 26,2013,0.04930515393661531,0.2807607170635452
Topic 27,2012,1.034378287169888,7.206188839272557
Topic 27,2013,0.049305153953845604,0.28076071716692697
Topic 28,2012,0.03446197767992759,0.2067746728306536
Topic 28,2013,0.04930515394166566,0.2807607170938473
Topic 29,2012,0.03446197767023001,0.2067746727724679
Topic 29,2013,0.049305153951363055,0.28076071715203166
