Topic,Top Terms
Topic 00,rayleigh,combining,probability,correlated,reception,selection,rician,optimum,nakagami-m,generalized,binary,signals,exact,signaling,unified,coherent,m-ary,ber,cochannel,nakagami
Topic 01,spectrum,sequence,spread,satellite,digital,mobile,loops,intersymbol,narrowband,qpsk,multipath,mlse,partial,communications,tone,signaling,timing,sequential,response,receivers
Topic 02,noise,phase,gaussian,presence,digital,signal,nonlinear,distribution,ofdm,effects,qam,constellations,correction,applications,awgn,signals,optimum,analog,compensation,errors
Topic 03,space-time,coded,block,differential,iterative,trellis,turbo,noncoherent,rayleigh,equalization,code,orthogonal,signals,psk,decision-feedback,awgn,demodulation,bit-interleaved,constellation,linear
Topic 04,multiple,multiuser,access,multiple-access,feedback,decision,detectors,asynchronous,code-division,multipath,receiver,random,detector,impact,synchronous,orthogonal,errors,uwb,code,fiber-optic
Topic 05,linear,multiuser,cancellation,antenna,receivers,antennas,mmse,signal,ds/cdma,array,processing,transmit,successive,arrays,filters,suppression,new,receive,multicarrier,techniques
Topic 06,ds-cdma,multicarrier,system,multipath,noise,coded,optimum,spreading,sequences,receivers,asynchronous,correlation,under,transmitter,non-gaussian,impulsive,downlink,signal,multiuser,mimo-ofdm
Topic 07,joint,power,reduction,optimization,ofdm,signals,coded,efficient,protection,source-channel,through,bandwidth,unequal,qam,modulations,variable-length,markov,constrained,atmospheric,constraints
Topic 08,radio,mobile,frequency,data,digital,system,selective,impulse,equalization,loop,ofdm,technique,techniques,joint,low-complexity,tracking,multipath,baseband,combining,high
Topic 09,beamforming,feedback,distributed,relay,scheme,based,broadcast,algorithms,selection,optimal,limited,synchronization,precoding,simple,multiuser,sensor,frame,multi-user,transmit,gaussian
Topic 10,carrier,frequency,timing,synchronization,recovery,symbol,offset,phase,signals,ofdm,effect,blind,joint,filter,bound,detector,jitter,acquisition,matched,cramer-rao
Topic 11,rate,throughput,system,delay,ieee,adaptation,average,link,two-dimensional,bound,time,product,constant,window,bounds,upper,modulus,cutoff,multiplexing,level
Topic 12,cooperative,relay,cognitive,spectrum,relaying,radio,sensing,network,amplify-and-forward,imperfect,sharing,opportunistic,two-way,capacity,multi-hop,decode-and-forward,outage,cooperation,under,distributed
Topic 13,optimal,power,allocation,capacity,multiple,data,strategies,frequency-selective,rate,multiuser,precoding,training,single,framework,maximization,practical,part,user,ofdm,co-channel
Topic 14,blind,equalization,ofdm,communications,frequency-selective,receiver,based,algorithm,multiuser,time-varying,ds-cdma,linear,joint,minimum,aided,transceivers,sequence,mc-cdma,broadband,suppression
Topic 15,algorithm,method,efficient,fast,new,results,via,reed-solomon,optimal,computation,transform,sequences,cyclic,discrete,strategy,further,comments,distortion,prefix,techniques
Topic 16,allocation,resource,joint,system,maximum,scheduling,likelihood,uplink,cellular,spatial,distributed,ofdma,source,downlink,power,video,number,transmissions,tradeoff,multiplexing
Topic 17,ldpc,based,code,parity-check,construction,low-density,binary,distance,decoder,quasi-cyclic,sets,partial,irregular,minimum,nonbinary,sequences,low,encoding,turbo,block
Topic 18,probability,bounds,communications,applications,random,theory,data,echo,general,outage,trellis-coded,distribution,sum,free-space,exact,new,variables,gaussian,correlated,bound
Topic 19,control,power,schemes,generalized,comparison,approach,evaluation,techniques,analytical,access,environments,communications,combining,two,rate,cellular,stochastic,call,hybrid-arq,ultra-wideband
Topic 20,switching,time,algorithms,assignment,packet,nonblocking,scheduling,multicast,parallel,algorithm,network,protocol,wdm,integrated,routing,wavelength,area,tdm,service,new
Topic 21,quantization,application,vector,new,noisy,its,function,decoder,feedback,properties,sparse,accurate,class,generalized,robust,convolutional,trellis-coded,interleaving,viterbi,modified
Topic 22,rate,concatenated,complexity,low,iterative,turbo,high,variable,bit,trellis,convolutional,soft,length,information,capacity,based,parallel,code,speech,set
Topic 23,algorithm,convolutional,image,algorithms,viterbi,fast,scheme,binary,block,compression,search,decoders,punctured,data,images,novel,quantization,ldpc,iterative,orthogonal
Topic 24,energy,efficiency,communications,selection,sampling,antenna,information,spectral,importance,mobile,simulation,novel,approach,technique,signaling,cellular,system,efficient,use,transmit
Topic 25,arq,hybrid,schemes,correlated,scheme,rates,sources,under,subscriber,protocol,information,digital,combined,achievable,state,block,rayleigh-fading,time-varying,capacity,limits
Topic 26,packet,radio,network,optimal,multihop,slotted,aloha,study,ring,delay,traffic,capture,problem,throughput,protocols,neural,loop,processes,multichannel,mean
Topic 27,spread-spectrum,signals,acquisition,phase,coherent,direct-sequence,keying,receiver,continuous,communications,code,shift,multiple-access,modulated,cpm,noncoherent,presence,jamming,frequency-hopped,multitone
Topic 28,atm,traffic,model,switch,evaluation,switching,packet,models,indoor,statistical,input,burst,queueing,modeling,architecture,blocking,under,infrared,buffer,multicast
Topic 29,control,network,routing,protocol,links,modeling,hoc,protocols,dynamic,large,based,delay,flow,optimization,fiber,efficient,designs,approach,policies,integration
