Topic,Top Terms
Topic 00,security,data,attack,protection,against,control,storage,access,management,cloud,method,scalable,solution,application,cryptographic,online,between,template,flexible,anonymous
Topic 01,evaluation,recognition,classification,algorithms,performance,database,signals,environment,code,correlation,scalar,subspace,fuzzy,fusion,surveillance,multimodal,capacity,dental,discriminant,representation
Topic 02,models,facial,3-d,quantization,application,index,hybrid,template,2-d,online,sensitivity,gradient,representation,fast,discriminant,matrix,between,technique,fuzzy,characterization
Topic 03,from,gaussian,techniques,speech,speaker,agreement,vector,enf,public,models,signal,keys,audio,processing,steganography,watermark,transmission,hashing,quantitative,frequency
Topic 04,system,features,modeling,fusion,3-d,shape,stochastic,random,from,classification,multimodal,clustering,efficient,voting,hashing,part,user,gabor,formal,spatial
Topic 05,over,performance,binary,audio,large,high,phase,timing,system,practical,communications,decoding,hashing,constrained,sketches,surveillance,spectral,continuous,broadcast,compressed
Topic 06,codes,fingerprinting,through,optical,multimedia,elections,scan,decoding,toward,practical,user,spectrum,spread,voting,2-d,integrity,distance,steganography,hashing,joint
Topic 07,digital,error,forensics,exposing,from,jpeg,motion,steganography,color,filtering,traces,sketches,anti-forensics,signatures,spread-spectrum,clustering,theory,spectrum,fair,spread
Topic 08,under,method,game,cooperative,cryptographic,ad-hoc,scalable,noise,monitoring,steganography,communications,securing,security,keys,physical-layer,hardware,intrusion,software,signatures,information-theoretic
Topic 09,channel,secrecy,wiretap,communication,capacity,generation,secret,design,rate,multiple,constraints,agreement,strong,public,broadcast,block,fading,correlation,part,transmission
Topic 10,estimation,fast,distribution,optimal,methods,steganographic,cover,statistical,signal,environment,keys,comparative,representation,establishment,constrained,discriminant,processing,differential,transmission,information-theoretic
Topic 11,fingerprint,study,latent,empirical,approach,automated,databases,use,segmentation,comparative,case,retrieval,reconstruction,transform,information-theoretic,transforms,compressed,part,transmission,between
Topic 12,applications,visual,its,biometrics,cryptography,soft,group,general,user,characterization,random,retrieval,steganography,construction,application,transform,quantitative,spectrum,watermark,multimodal
Topic 13,privacy,protocol,sharing,novel,distributed,secret,preserving,visual,search,anonymous,malicious,pixel,privacy-preserving,schemes,across,user,fair,communications,architecture,constrained
Topic 14,noise,pattern,camera,improved,enhancing,performance,linear,digital,differential,voting,source,transmission,pairwise,integrity,electronic,reconstruction,block,constrained,devices,internet
Topic 15,feature,approach,measure,information,image-quality,iris,filtering,distance,hashing,transforms,generating,large-scale,malware,traffic,comparative,steganography,voting,sketches,surveillance,software
Topic 16,information,behavior,design,side,fingerprinting,privacy-preserving,via,forensics,methodology,mimo,flow,strong,stochastic,construction,sensing,graphical,steganography,level,fuzzy,color
Topic 17,network,approach,mobile,traffic,large-scale,graph,monitoring,protocol,architecture,information-theoretic,quantitative,trusted,software,secret,distribution,sensing,spectrum,internet,anomaly,devices
Topic 18,detecting,matrix,jpeg,compression,detection,localization,forgery,via,artifacts,quantization,anti-forensics,steganography,hashing,traces,hardware,theory,transform,reconstruction,software,constrained
Topic 19,detection,schemes,via,blind,efficient,perceptual,spatial,fusion,intrusion,watermarks,spread-spectrum,clustering,anomaly,fair,pixel,hashing,quality,motion,watermark,multimodal
Topic 20,data,hiding,reversible,encryption,security,physical-layer,selection,encrypted,jamming,joint,relay,two-way,against,spectrum,spread,transform,practical,code,scalar,technique
Topic 21,recognition,verification,local,coding,approach,feature,efficient,effect,comprehensive,extraction,blind,representation,hashing,binary,differential,flexible,3-d,discriminant,multimodal,gradient
Topic 22,editorial,trust,guest,special,layer,physical,detection,mimo,securing,voting,electronic,trusted,surveillance,devices,internet,transmission,generation,distributed,communication,online
Topic 23,learning,estimation,message,age,source,subspace,via,pairwise,across,steganography,discriminant,fuzzy,facial,distance,constrained,representation,establishment,color,information-theoretic,arithmetic
Topic 24,algorithm,automatic,access,multiple,active,detection,general,extended,point,resilient,sensitivity,anomaly,graphical,electronic,construction,intrusion,sensing,steganography,representation,dental
Topic 25,extraction,adaptive,domain,temporal,exploiting,tracking,digital,flow,generating,level,hidden,compressed,resilient,filtering,hardware,transform,steganography,malware,hashing,watermarks
Topic 26,model,signature,dynamic,verification,modulation,markov,continuous,wavelet,application,hidden,transform,group,template,fair,architecture,integrity,user,large-scale,formal,online
Topic 27,iris,visible,performance,degraded,assessment,indexing,quality,methodology,adaptive,biometrics,covert,experimental,compression,its,fuzzy,sensing,reconstruction,flexible,constrained,structure
Topic 28,recognition,human,from,gait,sequences,toward,covert,experimental,use,discriminant,channel,gabor,sensing,dental,gradient,representation,approach,distance,constrained,transforms
Topic 29,detection,fingerprints,statistical,fading,digital,forensic,frequency,forensics,intrinsic,presence,improved,via,their,linear,techniques,timing,broadcast,exploiting,jamming,blind
