Topic,Top Terms
Topic 00,models,distributions,generalized,exponential,weibull,simple,commentary,step-stress,inference,computing,damage,recent,prognostic,modified,among,consecutive,phased-mission,procedure,series,masked
Topic 01,assessment,subject,periodic,computing,shocks,cumulative,coverage,grid,environment,subjected,mixed,non-homogeneous,replacement,redundant,when,approximation,prognostic,damage,performance,k-out-of-n
Topic 02,framework,design,multiple,stochastic,modes,neural,shock,theory,constraint,nets,mechanical,generalized,predictive,routing,through,events,vulnerability,predicting,consecutive,reliable
Topic 03,methodology,test,sampling,demonstration,censoring,weibull,distributed,tests,lifetimes,progressive,plans,step-stress,type-i,plan,start-up,gamma,lognormal,interval,type,out-of
Topic 04,optimization,random,spare,joint,imperfect,strategy,condition,control,production,parallel,policy,inventory,problems,deteriorating,number,machine,effect,genetic,quality,against
Topic 05,availability,new,some,constraints,protection,aging,distributed,repairs,properties,shared,tolerant,during,recovery,server,bounds,time,without,coherent,optical,task
Topic 06,information,function,monitoring,binary,universal,generating,considering,trees,decision,imperfect,acyclic,extension,diagrams,uncertainties,coverage,uncertainty,epistemic,operating,performance,measurement
Topic 07,models,markov,estimation,simulation,parameters,fast,dependability,approximate,likelihood,improved,consecutive-k-out-of-n,general,techniques,finite,recursive,fault-tolerant,acyclic,sensitivity,goodness-of-fit,circular
Topic 08,estimation,bayesian,burn-in,hazard,class,rate,nonparametric,interval,point,reliabilities,devices,procedure,bathtub,component,coherent,reliable,circuits,series,type,anomaly
Topic 09,allocation,redundancy,problem,series-parallel,linear,heuristic,tree,robust,elements,consecutively-connected,mission,uncertainty,programming,weighted,recursive,transmission,diagram,consecutive,into,incorporating
Topic 10,comparison,time,mean,diagnosis,sequential,two,between,local,approximation,circular,congestion,when,tests,algorithms,adaptive,safety,reliable,life,products,efficiency
Topic 11,components,policy,replacement,effects,warranty,times,age,circuits,digital,discrete,fuzzy,heterogeneous,new,time,products,power,evaluating,variance,estimates,error
Topic 12,detection,editorial,correction,inspection,intervals,variables,confidence,access,study,probability,experimental,memories,bounds,case,strategies,two,optical,reliable,discrete,ieee
Topic 13,test,time,error,repair,rates,warranty,from,software,considering,electronic,support,decisions,cost,efficiency,that,rate,estimation,series,plan,architecture
Topic 14,dynamic,through,cost,order,wireless,functions,functional,control,fuzzy,statistics,identification,errors,real-time,improvement,tolerance,case,faults,mission,capacity,design
Topic 15,models,risk,imperfect,stochastic,repair,general,policies,design,programming,proportional,aging,intensity,unified,policy,improvement,applications,strategies,properties,genetic,scheme
Topic 16,life,residual,k-out-of-n,mean,function,evaluating,equipment,components,its,structure,properties,lifetime,computing,congestion,consecutive,circular,standby,applications,hardware,defect
Topic 17,process,preventive,machine,single,multi-objective,hidden,scheduling,genetic,real-time,approaches,intrusion,review,events,server,reliable,adaptive,standby,generic,evaluate,frequency
Topic 18,dependent,processes,complex,multiple,components,manufacturing,competing,discrete,time-varying,system-reliability,availability,preventive,subject,variance,estimates,geometric,masked,mission,start-up,damage
Topic 19,efficient,multistate,approach,power,decision,assessing,chain,through,vulnerability,practical,modifications,sensitivity,engineering,quantitative,subject,finite,phased-mission,diagram,coverage,scheme
Topic 20,minimal,paths,complex,flow,all,budget,estimating,multistate,new,search,routing,general,generating,spare,parameters,nodes,two,heuristic,control,reliable
Topic 21,accelerated,life,tests,test,planning,step-stress,stress,plans,independent,distributions,optimum,bivariate,products,various,approach,practical,masked,from,birnbaum-saunders,series
Topic 22,importance,component,measures,extended,fault-tolerant,statistical,uncertainty,health,schemes,computer,corrections,components,from,epistemic,presence,functions,recent,tolerance,hardware,arrays
Topic 23,inference,parametric,type-ii,samples,results,known,censored,weibull,order,nonparametric,consecutive,commentary,modified,statistics,how,gamma,editorials-from,class,exact,ieee
Topic 24,lifetime,linear,methods,consecutive,combined,applications,monte,sensor,indirect,hard,operating,high,value,measurement,impact,bathtub,connected,reliable,critical,exact
Topic 25,application,prognostics,performance,out-of,life,hierarchical,useful,management,remaining,integrated,measure,coherent,probabilistic,health,review,data-driven,regression,its,through,weighted
Topic 26,software,growth,approach,models,resource,allocation,debugging,generation,development,dependent,error,hardware,sensitivity,poisson,strategies,assessment,approaches,architecture,defect,presence
Topic 27,approach,function,novel,path,optimization,estimating,communication,highly,identifying,poisson,classification,link,algorithms,intensity,combined,reliable,adaptive,neural,faults,that
Topic 28,censored,from,progressively,goodness-of-fit,hybrid,type-ii,test,kullback-leibler,bivariate,applications,life,review,type,information,tolerance,frequency,common,general,consecutive,birnbaum-saunders
Topic 29,random,competing,risks,parameter,incomplete,several,among,multiple,estimation,presence,independent,memories,faults,adaptive,transistor,predicting,performance,expected,modified,censored
