Topic,Group ID,Documents,Words
Topic 00,2010,0.03333333333333333,0.2
Topic 00,2012,0.03333333333333332,0.1666666666666666
Topic 01,2010,0.03333333333333329,0.19999999999999973
Topic 01,2012,0.03333333333333337,0.16666666666666685
Topic 02,2010,0.03333333333333333,0.2
Topic 02,2012,0.03333333333333332,0.1666666666666666
Topic 03,2010,0.03333333333333336,0.20000000000000018
Topic 03,2012,0.03333333333333329,0.16666666666666646
Topic 04,2010,0.03333333333333333,0.2
Topic 04,2012,0.03333333333333332,0.1666666666666666
Topic 05,2010,0.03333333333333334,0.20000000000000004
Topic 05,2012,0.03333333333333331,0.16666666666666657
Topic 06,2010,0.03333333333333333,0.2
Topic 06,2012,0.03333333333333332,0.1666666666666666
Topic 07,2010,0.03333333333333333,0.2
Topic 07,2012,0.03333333333333332,0.1666666666666666
Topic 08,2010,0.03333333333333333,0.2
Topic 08,2012,0.03333333333333331,0.16666666666666657
Topic 09,2010,0.03333333333333334,0.20000000000000004
Topic 09,2012,0.03333333333333331,0.16666666666666657
Topic 10,2010,0.03333333333333329,0.19999999999999973
Topic 10,2012,0.03333333333333337,0.16666666666666685
Topic 11,2010,0.03333333333333331,0.19999999999999987
Topic 11,2012,0.03333333333333333,0.16666666666666666
Topic 12,2010,0.03333333333333334,0.20000000000000004
Topic 12,2012,0.03333333333333331,0.16666666666666657
Topic 13,2010,0.03333333333333336,0.20000000000000018
Topic 13,2012,0.03333333333333329,0.16666666666666646
Topic 14,2010,0.03333333333333332,0.1999999999999999
Topic 14,2012,0.03333333333333332,0.1666666666666666
Topic 15,2010,0.03333333333333334,0.20000000000000004
Topic 15,2012,0.03333333333333331,0.16666666666666657
Topic 16,2010,0.03333333333333329,0.19999999999999973
Topic 16,2012,0.03333333333333337,0.16666666666666685
Topic 17,2010,0.03333333333333329,0.19999999999999973
Topic 17,2012,0.03333333333333337,0.16666666666666685
Topic 18,2010,0.03333333333333329,0.19999999999999973
Topic 18,2012,0.03333333333333337,0.16666666666666685
Topic 19,2010,0.03333333333333332,0.1999999999999999
Topic 19,2012,0.03333333333333332,0.1666666666666666
Topic 20,2010,0.03333333333333334,0.20000000000000004
Topic 20,2012,0.03333333333333331,0.16666666666666657
Topic 21,2010,0.03333333333333329,0.19999999999999973
Topic 21,2012,0.03333333333333337,0.16666666666666685
Topic 22,2010,0.03333333333333329,0.19999999999999973
Topic 22,2012,0.03333333333333337,0.16666666666666685
Topic 23,2010,0.03333333333333334,0.20000000000000004
Topic 23,2012,0.03333333333333331,0.16666666666666657
Topic 24,2010,0.03333333333333336,0.20000000000000018
Topic 24,2012,0.03333333333333329,0.16666666666666646
Topic 25,2010,0.03333333333333329,0.19999999999999973
Topic 25,2012,0.03333333333333337,0.16666666666666685
Topic 26,2010,0.03333333333333336,0.20000000000000018
Topic 26,2012,0.03333333333333329,0.16666666666666646
Topic 27,2010,0.03333333333333329,0.19999999999999973
Topic 27,2012,0.03333333333333337,0.16666666666666685
Topic 28,2010,0.03333333333333329,0.19999999999999973
Topic 28,2012,0.03333333333333337,0.16666666666666685
Topic 29,2010,0.03333333333333334,0.20000000000000004
Topic 29,2012,0.03333333333333331,0.16666666666666657
