Topic,Group ID,Documents,Words
Topic 00,2007,1.0003735924947275,5.0018679624736375
Topic 00,2009,0.03333333333333327,0.19999999999999962
Topic 00,2010,1.0002898252048609,5.001449126024305
Topic 00,2011,0.06666666666666676,0.33333333333333387
Topic 00,2012,0.03333333333333334,0.16666666666666669
Topic 01,2007,-1.2882499818196301E-5,-6.441249909098151E-5
Topic 01,2009,0.03333333333333322,0.19999999999999934
Topic 01,2010,-9.993972581474952E-6,-4.9969862907374755E-5
Topic 01,2011,0.06666666666666679,0.333333333333334
Topic 01,2012,0.03333333333333337,0.16666666666666685
Topic 02,2007,-1.288249981819628E-5,-6.44124990909814E-5
Topic 02,2009,0.033333333333333354,0.20000000000000012
Topic 02,2010,-9.993972581474941E-6,-4.996986290737471E-5
Topic 02,2011,0.06666666666666667,0.3333333333333333
Topic 02,2012,0.03333333333333333,0.16666666666666666
Topic 03,2007,-1.2882499818196301E-5,-6.441249909098151E-5
Topic 03,2009,0.03333333333333322,0.19999999999999934
Topic 03,2010,-9.993972581474952E-6,-4.9969862907374755E-5
Topic 03,2011,0.06666666666666679,0.333333333333334
Topic 03,2012,0.03333333333333337,0.16666666666666685
Topic 04,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 04,2009,0.03333333333333341,0.20000000000000046
Topic 04,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 04,2011,0.0666666666666666,0.333333333333333
Topic 04,2012,0.03333333333333334,0.16666666666666669
Topic 05,2007,-1.2882499818196296E-5,-6.441249909098148E-5
Topic 05,2009,0.033333333333333305,0.19999999999999984
Topic 05,2010,-9.993972581474948E-6,-4.996986290737474E-5
Topic 05,2011,0.06666666666666675,0.3333333333333337
Topic 05,2012,0.03333333333333333,0.16666666666666666
Topic 06,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 06,2009,0.03333333333333341,0.20000000000000046
Topic 06,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 06,2011,0.0666666666666666,0.333333333333333
Topic 06,2012,0.03333333333333334,0.16666666666666669
Topic 07,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 07,2009,0.033333333333333444,0.20000000000000068
Topic 07,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 07,2011,0.06666666666666657,0.33333333333333287
Topic 07,2012,0.03333333333333329,0.16666666666666646
Topic 08,2007,-1.2882499818196296E-5,-6.441249909098148E-5
Topic 08,2009,0.033333333333333305,0.19999999999999984
Topic 08,2010,-9.993972581474948E-6,-4.996986290737474E-5
Topic 08,2011,0.06666666666666675,0.3333333333333337
Topic 08,2012,0.03333333333333333,0.16666666666666666
Topic 09,2007,-1.2882499818196301E-5,-6.441249909098151E-5
Topic 09,2009,0.03333333333333317,0.19999999999999904
Topic 09,2010,-9.993972581474953E-6,-4.996986290737477E-5
Topic 09,2011,0.0666666666666668,0.33333333333333404
Topic 09,2012,0.03333333333333341,0.16666666666666705
Topic 10,2007,-1.2882499818196291E-5,-6.441249909098145E-5
Topic 10,2009,0.03333333333333328,0.19999999999999968
Topic 10,2010,-9.993972581474948E-6,-4.996986290737474E-5
Topic 10,2011,0.06666666666666675,0.33333333333333376
Topic 10,2012,0.03333333333333335,0.16666666666666674
Topic 11,2007,-1.2882499818196278E-5,-6.441249909098139E-5
Topic 11,2009,0.03333333333333339,0.20000000000000034
Topic 11,2010,-9.993972581474938E-6,-4.996986290737469E-5
Topic 11,2011,0.06666666666666662,0.33333333333333304
Topic 11,2012,0.03333333333333333,0.16666666666666666
Topic 12,2007,-1.2882499818196298E-5,-6.44124990909815E-5
Topic 12,2009,0.03333333333333322,0.19999999999999934
Topic 12,2010,-9.993972581474952E-6,-4.9969862907374755E-5
Topic 12,2011,0.06666666666666679,0.3333333333333339
Topic 12,2012,0.03333333333333337,0.16666666666666685
Topic 13,2007,-1.288249981819628E-5,-6.44124990909814E-5
Topic 13,2009,0.03333333333333339,0.20000000000000034
Topic 13,2010,-9.99397258147494E-6,-4.99698629073747E-5
Topic 13,2011,0.06666666666666665,0.33333333333333326
Topic 13,2012,0.03333333333333333,0.16666666666666666
Topic 14,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 14,2009,0.03333333333333341,0.20000000000000046
Topic 14,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 14,2011,0.0666666666666666,0.333333333333333
Topic 14,2012,0.03333333333333334,0.16666666666666669
Topic 15,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 15,2009,0.033333333333333444,0.20000000000000068
Topic 15,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 15,2011,0.06666666666666657,0.33333333333333287
Topic 15,2012,0.03333333333333329,0.16666666666666646
Topic 16,2007,-1.2882499818196296E-5,-6.441249909098148E-5
Topic 16,2009,0.03333333333333327,0.19999999999999962
Topic 16,2010,-9.99397258147495E-6,-4.996986290737475E-5
Topic 16,2011,0.06666666666666676,0.33333333333333387
Topic 16,2012,0.03333333333333334,0.16666666666666669
Topic 17,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 17,2009,0.03333333333333341,0.20000000000000046
Topic 17,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 17,2011,0.0666666666666666,0.333333333333333
Topic 17,2012,0.03333333333333334,0.16666666666666669
Topic 18,2007,-1.2882499818196301E-5,-6.441249909098151E-5
Topic 18,2009,0.03333333333333322,0.19999999999999934
Topic 18,2010,-9.993972581474952E-6,-4.9969862907374755E-5
Topic 18,2011,0.06666666666666679,0.333333333333334
Topic 18,2012,0.03333333333333337,0.16666666666666685
Topic 19,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 19,2009,0.033333333333333444,0.20000000000000068
Topic 19,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 19,2011,0.06666666666666657,0.33333333333333287
Topic 19,2012,0.03333333333333329,0.16666666666666646
Topic 20,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 20,2009,0.03333333333333341,0.20000000000000046
Topic 20,2010,-9.993972581474935E-6,-4.996986290737467E-5
Topic 20,2011,0.0666666666666666,0.333333333333333
Topic 20,2012,0.03333333333333334,0.16666666666666669
Topic 21,2007,-1.2882499818196301E-5,-6.441249909098151E-5
Topic 21,2009,0.03333333333333322,0.19999999999999934
Topic 21,2010,-9.993972581474952E-6,-4.9969862907374755E-5
Topic 21,2011,0.06666666666666679,0.333333333333334
Topic 21,2012,0.03333333333333337,0.16666666666666685
Topic 22,2007,-1.2882499818196271E-5,-6.441249909098136E-5
Topic 22,2009,0.03333333333333341,0.20000000000000046
