Topic,Top Terms
Topic 00,the,semantic,language,text,relations,automatic
Topic 01,the,semantic,language,text,recognition,relations,automatic
Topic 02,the,semantic,text,relations,automatic
Topic 03,the,semantic,text,relations,automatic
Topic 04,the,semantic,text,relations,statistical,automatic
Topic 05,the,semantic,text,relations,automatic
Topic 06,the,semantic,text,relations,automatic
Topic 07,the,semantic,language,text,relations,automatic
Topic 08,the,semantic,translation,text,relations,automatic
Topic 09,the,semantic,language,text,recognition,relations,automatic
Topic 10,the,semantic,language,text,recognition,relations,automatic
Topic 11,the,semantic,language,text,relations,automatic
Topic 12,the,semantic,translation,text,evaluation,relations,automatic
Topic 13,the,semantic,text,relations,automatic
Topic 14,the,semantic,text,relations,statistical,automatic
Topic 15,the,semantic,language,text,evaluation,relations,automatic
Topic 16,the,semantic,language,translation,text,relations,automatic
Topic 17,the,semantic,translation,text,relations,automatic
Topic 18,the,semantic,language,text,relations,automatic
Topic 19,the,semantic,language,text,relations,machine,automatic
Topic 20,the,semantic,language,text,recognition,relations,statistical,automatic
Topic 21,the,semantic,language,text,relations,automatic
Topic 22,the,semantic,language,text,recognition,relations,automatic
Topic 23,the,semantic,language,text,relations,automatic
Topic 24,the,semantic,language,text,relations,automatic
Topic 25,the,semantic,spoken,text,relations,automatic
Topic 26,the,semantic,text,recognition,relations,automatic
Topic 27,the,semantic,spoken,text,relations,automatic
Topic 28,the,semantic,text,relations,statistical,automatic
Topic 29,the,semantic,text,relations,automatic
